hardware,repeat,model,prefix,cache,concurrency,requests,successful,failed,completion_tokens_per_s,latency_p95_s,ttft_p95_s
rtx4090,4,1.5b,shared,0,32,64,64,0,3414.741574603599,1.261176645802334,0.38681407957337793
rtx4090,4,1.5b,shared,1,1,64,64,0,189.51972376445332,0.7036302820546553,0.021684376755729314
rtx4090,4,1.5b,shared,1,4,64,64,0,634.3933493409281,0.8470939943334087,0.034318656334653495
rtx4090,4,1.5b,shared,1,16,64,64,0,2378.957871991062,0.8658931601559743,0.08904988854192196
rtx4090,4,1.5b,shared,1,32,64,64,0,4342.113808722148,0.952457821322605,0.09905152425635605
rtx4090,4,1.5b,unique,0,1,64,64,0,191.09679905889683,0.6857218752615154,0.03815421191975474
rtx4090,4,1.5b,unique,0,4,64,64,0,607.6611396463205,0.8796854602172971,0.08497735420241952
rtx4090,4,1.5b,unique,0,16,64,64,0,2160.2126578398766,1.0144397856201977,0.21253705988638102
rtx4090,4,1.5b,unique,0,32,64,64,0,3213.016328238955,1.3276842307765038,0.425674812681973
rtx4090,4,1.5b,unique,1,1,64,64,0,187.6275173244178,0.7204421336064115,0.03848167425021529
rtx4090,4,1.5b,unique,1,4,64,64,0,608.6490057259052,0.8757499302970245,0.08368312395177782
rtx4090,4,1.5b,unique,1,16,64,64,0,2119.9680955714625,1.0120225602993742,0.2131171255838126
rtx4090,4,1.5b,unique,1,32,64,64,0,3238.6059245060196,1.3284566684160382,0.42251158379949627
rtx4090,4,7b,shared,0,1,64,64,0,59.115307920625504,2.222133995429613,0.11402230244129896
rtx4090,4,7b,shared,0,4,64,64,0,214.93043234562703,2.510316643118858,0.2933357925852761
rtx4090,4,7b,shared,0,16,64,64,0,681.7799416318986,3.219671610160731,0.801954024261795
rtx4090,4,7b,shared,0,32,64,64,0,1007.8286735369111,4.999637458194045,1.692160614370368
rtx4090,4,7b,shared,1,1,64,64,0,59.955315550387645,2.150550461281091,0.03295498013030737
rtx4090,4,7b,shared,1,4,64,64,0,229.78699147267858,2.3384309787768864,0.04128486353438347
rtx4090,4,7b,shared,1,16,64,64,0,855.9850400084038,2.5158342025242746,0.24225230040028692
rtx4090,4,7b,shared,1,32,64,64,0,1489.0670474510093,2.815144259063527,0.27872428041882813
rtx4090,4,7b,unique,0,1,64,64,0,58.36308730717798,2.2782321150414644,0.12038981749210506
rtx4090,4,7b,unique,0,4,64,64,0,213.00438754435768,2.53804958416149,0.30754835312254725
rtx4090,4,7b,unique,0,16,64,64,0,664.6994202561469,3.3013570298673587,0.8598611678695306
rtx4090,4,7b,unique,0,32,64,64,0,966.337705420449,5.147055850364268,1.859336848114617
rtx4090,4,7b,unique,1,1,64,64,0,58.93118427457877,2.2340138748288156,0.11547878431156278
rtx4090,4,7b,unique,1,4,64,64,0,213.3848792576536,2.528863264946267,0.296720666741021
rtx4090,4,7b,unique,1,16,64,64,0,667.1977667205132,3.303214380238205,0.8476854838896543
rtx4090,4,7b,unique,1,32,64,64,0,974.5513556782427,5.142865172610618,1.8210962851298973
a10080,1,1.5b,shared,0,1,64,64,0,209.11572595794243,0.6254886042326688,0.02534940391778946
a10080,1,1.5b,shared,0,4,64,64,0,761.8171014637978,0.6914576593786478,0.05866625849157572
a10080,1,1.5b,shared,0,16,64,64,0,2578.1197010639567,0.8373900087550282,0.15290403105318545
a10080,1,1.5b,shared,0,32,64,64,0,4170.987534647163,1.004910757020116,0.2542696060612798
a10080,1,1.5b,shared,1,1,64,64,0,211.35783780661885,0.6246189463883638,0.01783932484686374
a10080,1,1.5b,shared,1,4,64,64,0,780.843783962395,0.6619715031236411,0.029756884463131426
a10080,1,1.5b,shared,1,16,64,64,0,2884.6027384069303,0.727831014059484,0.05686912797391414
a10080,1,1.5b,shared,1,32,64,64,0,5083.417797087739,0.806873669847846,0.07749175336211919
a10080,1,1.5b,unique,0,1,64,64,0,208.85639078947435,0.62782141007483,0.02581248786300421
a10080,1,1.5b,unique,0,4,64,64,0,760.1353181804508,0.6954350043088198,0.059726089052855966
a10080,1,1.5b,unique,0,16,64,64,0,2539.600699250119,0.8387788200750947,0.1565603245049715
a10080,1,1.5b,unique,0,32,64,64,0,3909.612276706985,1.0898670902475716,0.30197006240487095
a10080,1,1.5b,unique,1,1,64,64,0,207.63325371216368,0.6299449307844043,0.026039494574069975
a10080,1,1.5b,unique,1,4,64,64,0,756.7066681228591,0.700600466504693,0.06283965259790421
a10080,1,1.5b,unique,1,16,64,64,0,2528.161013664532,0.8443133046850562,0.1383647158741951
a10080,1,1.5b,unique,1,32,64,64,0,4011.3574018312656,1.0422150921076536,0.2867194935679436
a10080,1,7b,shared,0,1,64,64,0,89.00309145431338,1.4816110113635659,0.08014546390622854
a10080,1,7b,shared,0,4,64,64,0,327.71564953232087,1.6706435643136501,0.21815242432057858
a10080,1,7b,shared,0,16,64,64,0,1004.7579030808449,2.2390158696100113,0.5189054608345032
a10080,1,7b,shared,0,32,64,64,0,1549.8835679388683,2.9757348680868745,0.8413784598931671
a10080,1,7b,shared,1,1,64,64,0,90.67538798390333,1.4198854008689523,0.02402312699705361
a10080,1,7b,shared,1,4,64,64,0,350.86826607109,1.5175792006775735,0.0789185432717204
a10080,1,7b,shared,1,16,64,64,0,1254.1558211126346,1.6978474121540785,0.1640562368556857
a10080,1,7b,shared,1,32,64,64,0,2225.061697406397,1.9261320175603032,0.2701020106673241
a10080,1,7b,unique,0,1,64,64,0,88.9768202448812,1.482433919981122,0.08094400148838758
a10080,1,7b,unique,0,4,64,64,0,326.4455350658187,1.6708757819607853,0.2261325541883707
a10080,1,7b,unique,0,16,64,64,0,985.8212309229745,2.4653437262400972,0.6293779961764806
a10080,1,7b,unique,0,32,64,64,0,1496.5394002004293,3.077575494349003,0.933631626330316
a10080,1,7b,unique,1,1,64,64,0,88.79775853319741,1.485511014238,0.0812625091522932
a10080,1,7b,unique,1,4,64,64,0,325.6643916920432,1.679369262047112,0.22649461012333633
a10080,1,7b,unique,1,16,64,64,0,991.0379352726881,2.4223678860813367,0.6141174187883729
a10080,1,7b,unique,1,32,64,64,0,1507.6056633398298,3.059151933155954,0.9068180363625288
a10080,2,1.5b,shared,0,1,64,64,0,209.9663095348392,0.6240414902567863,0.02548475433140993
a10080,2,1.5b,shared,0,4,64,64,0,758.5869254535332,0.6884800914674998,0.05359025616198778
a10080,2,1.5b,shared,0,16,64,64,0,2577.732311177511,0.8121761467307806,0.13424424100667237
a10080,2,1.5b,shared,0,32,64,64,0,4142.303985186389,1.1083638537675142,0.27981375306844714
a10080,2,1.5b,shared,1,1,64,64,0,212.00650618738928,0.6131413174793124,0.01621812526136635
a10080,2,1.5b,shared,1,4,64,64,0,774.1828355029311,0.6792618550360202,0.02551876734942198
a10080,2,1.5b,shared,1,16,64,64,0,2889.357766643986,0.7190667981281876,0.050036219134926785
a10080,2,1.5b,shared,1,32,64,64,0,5101.917923959443,0.8140928307548165,0.07178077828139066
a10080,2,1.5b,unique,0,1,64,64,0,209.28803826698973,0.6258255695924163,0.025966757722198964
a10080,2,1.5b,unique,0,4,64,64,0,756.2342990412442,0.69247887134552,0.05531150754541159
a10080,2,1.5b,unique,0,16,64,64,0,2565.585487002028,0.8220112727954983,0.14878088422119617
a10080,2,1.5b,unique,0,32,64,64,0,4081.0801566832406,1.079342701472342,0.26066520884633065
a10080,2,1.5b,unique,1,1,64,64,0,208.55344007599632,0.6283629361540078,0.025769514776766297
a10080,2,1.5b,unique,1,4,64,64,0,755.0835688750813,0.7009336246177553,0.05523243676871061
a10080,2,1.5b,unique,1,16,64,64,0,2511.265556962296,0.8340144325047731,0.14471842646598815
a10080,2,1.5b,unique,1,32,64,64,0,4039.3367495217167,1.136384515464306,0.28752944990992546
a10080,2,7b,shared,0,1,64,64,0,89.15974078737243,1.4781469404697418,0.08021226637065411
a10080,2,7b,shared,0,4,64,64,0,328.39070275044605,1.6335254430770874,0.18529977109283208
a10080,2,7b,shared,0,16,64,64,0,1011.5003822274167,2.171252300217747,0.5136047834530473
a10080,2,7b,shared,0,32,64,64,0,1549.459579264632,3.2424793580546973,1.0456891110166908
a10080,2,7b,shared,1,1,64,64,0,90.58413034123218,1.419762927107513,0.021883032470941543
a10080,2,7b,shared,1,4,64,64,0,349.70127935746876,1.5341423550620672,0.03926711156964302
a10080,2,7b,shared,1,16,64,64,0,1262.0035689588526,1.7054373044520617,0.16311983894556759
a10080,2,7b,shared,1,32,64,64,0,2269.7226418478817,1.8573677651584148,0.20407958552241323
a10080,2,7b,unique,0,1,64,64,0,89.10558583494527,1.479429252818227,0.08102539889514446
a10080,2,7b,unique,0,4,64,64,0,326.21957438756993,1.6512384140864014,0.19080720767378806
a10080,2,7b,unique,0,16,64,64,0,983.6452983078831,2.1510821163654326,0.5709131436422468
a10080,2,7b,unique,0,32,64,64,0,1501.5191010253443,3.430017212405801,1.1638766689226032
a10080,2,7b,unique,1,1,64,64,0,88.7980476134277,1.4835010761395098,0.0808143513277173
a10080,2,7b,unique,1,4,64,64,0,326.21588526899956,1.6490107977762818,0.19213255681097507
a10080,2,7b,unique,1,16,64,64,0,987.0831005144332,2.1350177036598326,0.5454632498323917
a10080,2,7b,unique,1,32,64,64,0,1496.9329095195988,3.312366062030196,1.0472609415650367
a10080,3,1.5b,shared,0,1,64,64,0,209.32344920527962,0.6259193181991577,0.025455645844340326
a10080,3,1.5b,shared,0,4,64,64,0,754.5906121520994,0.693054080568254,0.054692786745727064
a10080,3,1.5b,shared,0,16,64,64,0,2573.3344833352635,0.8168806280940771,0.13979942668229342
a10080,3,1.5b,shared,0,32,64,64,0,4170.184636702382,1.076910245232284,0.25330518167465926
a10080,3,1.5b,shared,1,1,64,64,0,211.27519878811339,0.6151301007717848,0.01661230530589817
a10080,3,1.5b,shared,1,4,64,64,0,774.1807697993488,0.6753674885258079,0.03585535660386083
a10080,3,1.5b,shared,1,16,64,64,0,2855.1568087497553,0.7362603114917874,0.06298313736915588
a10080,3,1.5b,shared,1,32,64,64,0,5051.714654432062,0.8131319977343082,0.07525882367044687
a10080,3,1.5b,unique,0,1,64,64,0,209.1945598013083,0.626610486023128,0.025887148827314375
a10080,3,1.5b,unique,0,4,64,64,0,755.8176861663778,0.6988745143637061,0.05919446423649788
